Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Functional Area,Industry
Training Manager, Not Disclosed by Recruiter ,3 - 8 yrs, SQL| microsoft| Troubleshooting| Visual Studio| Service| Information technology| Incident management| Computer science| English| Customer interactionSystems Engineer| Systems Engineer,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing"
Associate/Senior Associate -(NonTechnical),INR,0 - 4 Years,customer support|customer service|calling|customer focus|client focus|relationship focus|voice process|bpo|call center|domestic bpo|inbound|customer care|wipro|zomato|convergys|accenture|wns|exl|teleperformance,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations",BPO / Call Centre / ITES
Tour Mngmt Executive, Not Disclosed by Recruiter ,1 - 4 yrs, packaging design| Counter sales| Packaging,Ticketing/Travel/Documentation,"Travel , Tours , Ticketing , Airlines","Recruitment, Staffing"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,0 - 3 yrs, Service| Technical support| Issue| Technical| Inbound calls| Bonus| Software,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Team Lead/Technical Lead, Not Disclosed by Recruiter ,6 - 11 yrs, mvc| javascript| jquery| asp.net| c#| .net| Entity Framework,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,0 - 1 yrs, PHP| Android| SEO| Facebook| Pharma| Email| Architecture| mbbs| Linkedin| Usage,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
DBA, Not Disclosed by Recruiter ,5 - 10 yrs, java| tomcat| upgrade| functions| configuration| triggers,Admin/Maintenance/Security/Datawarehousing,"IT Software - DBA , Datawarehousing","IT-Software, Software Services"
Testing Engineer, Not Disclosed by Recruiter ,0 - 1 yrs, Software Testing| Manual Testing| QA,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services"
Team Lead/Technical Lead, Not Disclosed by Recruiter ,15 - 22 yrs,IT Operations| Tomcat| JBOSS| SQL Server| DB2| Solution Design| RDBMS| Middleware,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services"
Team Leader-Quality Assurance/Quality Control,"6,00,000 - 10,00,000 PA.",5 - 8 yrs,Call Quality| Training Needs| ISO 9001| Feedback| Quality Analysis| Pareto Analysis| Continuous Improvement| Customer Satisfaction| Process Improvement Initiatives| Lean Six Sigma,Quality,"ITES , BPO , KPO , LPO , Customer Service , Operations",Other
Head/VP/GM-R&D,"15,00,000 - 25,00,000 PA.",6 - 11 yrs, fabrication| Material Science| Sheet Metal,Senior Management,"Engineering Design , R&D","Consumer Electronics, Appliances, Durables"
Testing Engineer, Not Disclosed by Recruiter ,2 - 4 yrs, Drupal| Test case execution| Test scripts| Process orientation| Bug tracking| Tools| Service| Regression testing| Test cases| Firefox,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services"
Transport/Distribution Manager,"17,00,000 - 20,00,000 PA.",8 - 10 yrs, Sales| Supply Planning| Supply Chain| FMCG| Demand Planning| SAP| Six Sigma| SCM| JDA| Supply Chain Management| Factory| DCS| supplier| Inventory Management| Order Fulfillment,Logistics,Purchase / Logistics / Supply Chain,"Industrial Products, Heavy Machinery"
Software Developer, Not Disclosed by Recruiter ,3 - 8 yrs, Technical product configuration| design| integration PHP| MySQL| HTML| C| c++| JavaScript,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Accounts Executive/Accountant, Not Disclosed by Recruiter ,15 - 17 yrs, Senior Accountant,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Construction, Engineering, Cement, Metals"
Purchase/Vendor Development Manager, Not Disclosed by Recruiter ,3 - 5 yrs, Inventory Management| Demand Planning| Supply Chain| Operations,Purchase/Material Management,Purchase / Logistics / Supply Chain,"Pharma, Biotech, Clinical Research"
Software Developer, Not Disclosed by Recruiter ,2 - 7 yrs, Business Analyst| C++| XML| JSP| PLSQL| Murex| Financial services| Comp| ASP.Net| .Net,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,0 - 3 yrs, Help Desk| Customer Service| data analysis| tech support| BPO| voice| customer relationship| cce| inbound| customer service| caller| technical support| voice process| access controls| outbound| uk| calling| non voice| us,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Project Lead, Not Disclosed by Recruiter ,4 - 6 yrs, requirement gathering| client coordination| senior business analyst| technical consultant| business analysis| wireframing| it project management| project execution| project coordination| project planning,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Head/VP/GM-Recruitment, Not Disclosed by Recruiter ,9 - 14 yrs, MIS| Scheduling| Team building| Management| National Head| Training| UPS| OJT,Senior Management,"HR , Recruitment , Administration , IR","Education, Teaching, Training"
Associate/Senior Associate -(Technical),"2,00,000 - 5,00,000 PA.",1 - 6 yrs, dns| networking| windows troubleshooting| customer support| technical support| active directory| desktop troubleshooting| international voice process| windows server| cloud computing| exchange server| ccna| dhcp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
HR Executive, Not Disclosed by Recruiter ,1 - 6 yrs, recruitment| screening| hr| senior management| hr recruiter| recruitment executive| talent acquisition| hiring| head hunting| staffing| HR Consulting| HR Consultant,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,1 - 4 yrs, Bpo Voice| Calling| Voice Process| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Software Developer, Not Disclosed by Recruiter ,3 - 8 yrs,SQL| HTML| WCF| WPF| Application development| CSS3| ASP.Net MVC| Web services| Design development| Technology Analyst| architecture| developer| server| support| level| rest| web| net,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,2 - 6 yrs, Python| MySQL| Redis| NoSQL| Django| MongoDB| Postgresql| Data Structures| AWS| Algorithms,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Associate/Senior Associate -(NonTechnical),"1,00,000 - 4,00,000 PA.",1 - 6 yrs, customer service| voice process| australian| calling| communication skills| customer support| technical process| support| executive| customer representative| cse| csa| cso| cca| tsr| cce| tse| tso| troubleshooting| desktop| remote support| it helpdesk,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Software Developer, Not Disclosed by Recruiter ,1 - 4 yrs, Java| C++| C| Ruby on Rails| Django| Node.js| Algorithm| Data Structure| Python,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
HR Executive, Not Disclosed by Recruiter ,0 - 1 yrs, ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing"
Software Developer, Not Disclosed by Recruiter ,3 - 8 yrs,JMS| Rest| Websphere Process Server| JSP Servlets| XML| Java Web Services| JDBC| J2Ee| Sax| SOAP,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Sales/Business Development Manager, Not Disclosed by Recruiter ,5 - 9 yrs, Corporate finance| Investment banking,Corporate Sales,"Sales , Retail , Business Development","Education, Teaching, Training"
Associate/Senior Associate -(Technical), Not Disclosed by Recruiter ,2 - 6 yrs, Outbound| English| Email| Inbound calls| Domestic BPO| Troubleshooting| Technical support| Recruitment| Comp| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Analyst, Not Disclosed by Recruiter ,10 - 15 yrs, Telecom| Business Analyst| Cloud| CIO| Security| Analytics| CTO,Mutual Funds/Fund Management/Asset Management,"Financial Services , Banking , Investments , Insurance","IT-Software, Software Services"
Microbiologist, Not Disclosed by Recruiter ,3 - 5 yrs, Pharma| Clinical research| Healthcare| Email| Microbiology| Senior Executive| Manager Quality Control| HRD| MSC| Recruitment,R&D,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Recruitment, Staffing"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,0 - 5 yrs, Voice process BPO Outbound ITES Night shift Service English windows support Comp Business Executive,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,2 - 5 yrs, Service level| operational support| Financial reporting| project support| Helpdesk| Issue resolution| Risk management| Operations| Project life cycle| Downstream,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Banking, Financial Services, Broking"
Broker/Trader,"2,50,000 - 4,50,000 PA.",0 - 5 yrs, equity trading| commodity trading| relationship management| hni client handling| hni sales| equity broking| Commodity Dealer| Stock Market| Stock Broking| NISM| share trading,Financial Services/Stock Broking,"Financial Services , Banking , Investments , Insurance","Banking, Financial Services, Broking"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,0 - 2 yrs, Outbound| Customer service| Technical support| Sales| Senior Executive| Inbound calls| Inbound voice process| US shift| Antivirus| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
"One of the most comprehensive portfolios of offerings on the market Sopra Steria, a European leader in digital transformation, provides one of the most comprehensive portfolios of offerings on the market, spanning consulting, systems integration, industry-specific solutions, infrastructure management and business process services. It provides end-to-end solutions to address the core business needs of large companies and organisations, helping them remain competitive and grow. Combining added value with innovative high-performance services, Sopra Steria excels in guiding its clients through their transformation projects to help them make the most of digital technology. With more than 44,000 employees in more than 20 countries, Sopra Steria generated revenue of 4.1billion in 2018.", Not Disclosed by Recruiter,0 - 2 Years,Finance & Accounts,"One of the most comprehensive portfolios of offerings on the market Sopra Steria, a European leader in digital transformation, provides one of the most comprehensive portfolios of offerings on the market, spanning consulting, systems integration, industry-specific solutions, infrastructure management and business process services. It provides end-to-end solutions to address the core business needs of large companies and organisations, helping them remain competitive and grow. Combining added value with innovative high-performance services, Sopra Steria excels in guiding its clients through their transformation projects to help them make the most of digital technology. With more than 44,000 employees in more than 20 countries, Sopra Steria generated revenue of 4.1billion in 2018.",Other,IT-Software / Software Services
Software Developer, Not Disclosed by Recruiter ,0 - 4 yrs,C++| Android| Javascript| development| C| Opengl| Programming| mobile| mca| Graphics| Computer science| 3D| java| Supervision| deployment,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Recruitment Manager, Not Disclosed by Recruiter ,3 - 7 yrs, leadership hiring| talent acquisition| Human Resource| Lateral Hiring| hr| sourcing| Recruitment,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Internet, Ecommerce"
Telecalling/Telemarketing Executive,"1,00,000 - 1,50,000 PA.",0 - 2 yrs, Receptionist| front office executive| Front Office| Receptionist Activities| front desk executive| Telecalling| telemarketing,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Technical Support Engineer,"5,00,000 - 6,00,000 PA.",2 - 4 yrs, Communication Skills| Written Communication| Exchange Server| Windows Server| Technical Support| Educational Qualification| Antivirus| Troubleshooting| Active Directory| Firewall,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
HR Manager,"4,00,000 - 7,50,000 PA.",6 - 10 yrs, BPO| Manpower Planning| Communication Skills| International Clients| OD| Human Resource Management| HR| Bulk Hiring| KPO| Recruitment,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","BPO, Call Centre, ITeS"
Documentation/Shipping-Executive/Manager,"4,00,000 - 5,00,000 PA.",2 - 3 yrs, Cargo| Brc| Costing| MIS| DGFT| Freight| EPCG,Documentation/Shipping,"Export , Import , Merchandising","Recruitment, Staffing"
Project Manager-IT/Software, Not Disclosed by Recruiter ,5 - 10 yrs, Computer science| Project tracking| Version control| Project management| Client coordination| MS Office tools| Manager Quality Control| Business Executive| Monitoring| Core banking,Project Management,IT Software - Other,"IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,5 - 9 yrs, Business process| Analytical skills| Root cause analysis| Issue resolution| ASP.Net| MVC| Outsourcing| Operations| Microsoft technologies| SQL,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,6 - 10 yrs, Application support| Windows| Automation| Production support| microsoft| Unix shell scripting| Analytics| CVS| IT services| Scheduling,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Medical Officer,Openings: 1,1 - 4 Years,trauma|medical officer|General Management|Resident|emergency,Medical Professional,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology",Medical / Healthcare / Hospitals
Software Developer, Not Disclosed by Recruiter ,4 - 6 yrs, PHP| Oracle| jQuery| bca| technical| Database design| developing| test driven development| mca| salesforce| Effective Communication| database| java| web| Analytical| design| asp.net| api| Sales force development| rest| Usage| development| c| Triggers| soap,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Head/VP/GM/National Manager -Sales, Market Standards ,14 - 19 yrs, Sales Management| Marketing| Client Retention| Business Development| Market Analysis| Market Research| Business Growth| Region| New Product| Engineering Services| BDE| business development manager,Senior Management,"Sales , Retail , Business Development","Heat Ventilation, Air Conditioning"
Sales/Business Development Manager, Not Disclosed by Recruiter ,7 - 10 yrs, Customer service| Healthcare| MIS| Diagnostics| Business planning| Supply chain| Procurement| Forecasting| Microbiology| Claims,Corporate Sales,"Sales , Retail , Business Development","Medical, Healthcare, Hospitals"
Software Developer, Not Disclosed by Recruiter ,10 - 15 yrs,Office 365| High Availability| Active Directory| Disaster Recovery| Problem Management| Knowledge Management| Business Applications| Cloud Security| Foreign Language| Continuous Improvement| System Architect,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Key Account Manager, Not Disclosed by Recruiter ,5 - 9 yrs,customer marketing| customer acquisition| sales| sales head| key account management| b2b sales| corporate sales| sales planning,Channel Sales,"Sales , Retail , Business Development","Internet, Ecommerce"
Assistant Manager/Manager-(NonTechnical), Not Disclosed by Recruiter ,7 - 11 yrs, Assistant Manager Operations| Manager Operations,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Associate/Senior Associate -(Technical), Not Disclosed by Recruiter ,0 - 3 yrs, Voice process| Outbound| process| Productivity| US shift| Bonus| Technical support,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,2 - 7 yrs, MySQL| Oracle DBA| MS SQL| Recruitment| Tuning| Email| Analytical| CV| SQL DBA| Management,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,3 - 5 yrs, Telecom| data science| Healthcare| XML| HTML| Perl| Information management| Data mining| Analytics| SQL,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals"
Telesales/Telemarketing Executive/Officer,"2,00,000 - 3,00,000 PA.",0 - 5 yrs, relationship manager| Client Onboarding| Equity Advisory| telesales| dealer| onboarding,Sales Support,"Sales , Retail , Business Development","Banking, Financial Services, Broking"
Lecturer/Professor, Not Disclosed by Recruiter ,2 - 4 yrs, Teaching| Educator| Counselor| Mentor| Trainer| Advisor,University Level,"Teaching , Education , Training , Counselling","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,8 - 13 yrs, Consulting| Windows| Monitoring| Performance tuning| operational support| Testing tools| WebDynPro| Information technology| ABAP,Programming & Design,"IT Software - Application Programming , Maintenance","Automobile, Auto Anciliary, Auto Components"
Software Developer, Not Disclosed by Recruiter ,2 - 6 yrs, Wireless| Network Infrastructure| QOS| WAN| VPN| Solarwinds| Network Support| Call Manager| Cisco Networking| Switching,Programming & Design,"IT Software - Network Administration , Security","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter,4 - 5 Years,SAP ABAP|Bdc|OO ABAP|Module Pool|Alv|RFC|Testing Tools|System Testing|Business Process|Application Development|SAP ABAP Development,Programming & Design,"IT Software - ERP , CRM",IT-Software / Software Services
Software Developer,"4,75,000 - 6,00,000 PA.",3 - 7 yrs, Windows System Administration| windows system admin| windows system administrator,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,1 - 4 yrs, Software Developer| java,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,2 - 3 yrs,CSS| GIT| Front End| Html5| Subversion| Problem Solving| Javascript| Bootstrap| Version Control| JQuery,Programming & Design,IT Software - Mobile,"IT-Software, Software Services"
Retail Store Manager, Not Disclosed by Recruiter ,5 - 8 yrs, Customer satisfaction| Customer Service| Help Desk| Information| Telephony support| customer relationship,Retail Sales,"Sales , Retail , Business Development","Automobile, Auto Anciliary, Auto Components"
Graphic Designer,"2,50,000 - 4,00,000 PA.",1 - 4 yrs, Mobile Applications| Infographics| Social Media| Graphic Designing,Creative,"Design , Creative , User Experience","IT-Software, Software Services"
Chartered Accountant, Not Disclosed by Recruiter ,5 - 7 yrs, remediation| Assurance| US GAAP| Accounting| Revenue recognition| GAAP| IFRS| Financial services| Technical support| Auditing,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Accounting, Finance"
Graphic/Web Designer,"6,00,000 - 11,00,000 PA.",4 - 9 yrs, Animation| Lighting| Compositing| Maya,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Team Lead/Technical Lead, Not Disclosed by Recruiter ,3 - 6 yrs, Telerik| C#.Net| Process Streamlining| Technical Lead| Selenium| Functional,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Graphic/Web Designer, Not Disclosed by Recruiter ,2 - 6 yrs, PHP| Magento| Magento Developer| Ecommerce Development,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,0 - 0 yrs, C#| ASP.Net| SQL Server| .Net| MVC,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Head/VP/GM/National Manager -Sales,"40,00,000 - 50,00,000 PA.",10 - 15 yrs,b2b sales| key account management,Senior Management,"Sales , Retail , Business Development",Other
Graphic/Web Designer, Not Disclosed by Recruiter ,2 - 4 yrs,Graphic designing| CSS| jQuery| Web technologies| Illustrator| html5| Social media| Javascript| PHP| Photoshop,Programming & Design,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,2 - 4 yrs, Magento| Programming,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing"
Accounts Executive/Accountant,"2,00,000 - 2,75,000 PA.",0 - 5 yrs, accounts receivable| accounts payable| journal entries| general accounting| accounting| general ledger| banking| bank reconciliation| invoicing| book keeping| International Accounting| taxation| finance| financial statements,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","BPO, Call Centre, ITeS"
Software Developer, Not Disclosed by Recruiter ,2 - 6 yrs,UI| Image Processing| HTML5| Javascript| React.js| Photoshop| AJAX| CSS3,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,5 - 10 yrs,Java| JavaJ2EE| JBPM| SQL,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Testing Engineer, Not Disclosed by Recruiter,4 - 6 Years,Performance Testing|Test Strategy|Performance Center|Test Planning|Test Estimation|JMeter|Defect Management|Test Cases|Test Case Design|QA,Programming & Design,IT Software - QA & Testing,IT-Software / Software Services
Sales Executive/Officer, Not Disclosed by Recruiter ,0 - 3 yrs, Business Development Manager| Marketing Manager| Real estate| English| CV| Business Executive| WHO| Mail,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,2 - 7 yrs,Testing| C++| MATLAB| Automotive| Simulink| CGI| Infotainment| qml| 32 bit microcontrollers| HMI,Programming & Design,IT Software - System Programming,"Semiconductors, Electronics"
Software Developer,"17,00,000 - 25,00,000 PA.",5 - 10 yrs, python| orchestration| Linux| telecom domain| product development| design| vmware| openstack| shell scripting| ansible,Programming & Design,IT Software - Telecom Software,"IT-Software, Software Services"
Telecalling/Telemarketing Executive,"2,00,000 - 4,50,000 PA.",1 - 6 yrs, Sales| Casa| Financial Services| Relationship Management| Insurance| Finance| Liabilities| Fixed Deposits| Banking| Business Development,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Institutional Sales/Business Development Manager,"3,00,000 - 6,00,000 PA.",3 - 7 yrs,Institutional Sales| corporate sales| corporate selling| institutional selling| Direct Sales| channel sales| retail sales| B2B Sales,Institutional Sales,"Sales , Retail , Business Development","Wellness , Fitness , Sports, Beauty"
Sales Executive/Officer, Not Disclosed by Recruiter ,0 - 2 yrs, Due diligence| Brand building| Sales promotion| Sales Executive| Management,Retail Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals"
Accounts Executive/Accountant, Not Disclosed by Recruiter ,2 - 7 yrs, Auditing| Payroll| Risk management| Service| Recruitment| Staffing| Company Secretary| Accounts Executive| Commerce| Law,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing"
Associate/Senior Associate -(NonTechnical),"1,50,000 - 3,75,000 PA.",0 - 3 yrs, Inbound Process| voice| bpo| international bpo| customer care| Calling| Outbound Process| UK Shift| Customer Care Associate| voice process| Bpo Voice| us shift| Call Center| International Voice Process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Quality Assurance/Quality Control Executive, Not Disclosed by Recruiter ,3 - 8 yrs, Manager Quality Assurance| Pharma| Regulatory affairs| QA| QA Executive,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Recruitment, Staffing"
Operations Manager, Not Disclosed by Recruiter ,5 - 10 yrs, operations management| ops management| operations| operations manager| ops manager| loans operations| back office| Back Office Operations| backend operations,Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations","Banking, Financial Services, Broking"
Associate/Senior Associate -(NonTechnical),"1,00,000 - 5,00,000 PA.",0 - 5 yrs, bpo| call center executive| tcs| sutherland| call center| kpo| sales| fresher| voice process| inbound process| international call center| non voice| customer care executive,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS"
Software Developer, Not Disclosed by Recruiter ,12 - 17 yrs, Networking| SQL| technical| software| tools| research| cloud| Outbound| NoSQL| ui| web| Application programming| devops| design| Monitoring| email| programming| architecture| mobile| Firewall| Computer science| saas| service| Virtualization| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Production Manager, Not Disclosed by Recruiter ,3 - 5 yrs, AutoCAD| Production Management,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Recruitment, Staffing"
Analytics Manager, Not Disclosed by Recruiter ,6 - 8 yrs, Machine Learning| Analytics| Data Visualization| SQL| Statistics| Statistical Modeling| R| Solution Design| E| Sales| Proposals| Strategic Planning| Project Management,Analytics & BI,Analytics & Business Intelligence,"Banking, Financial Services, Broking"
Team Lead/Technical Lead,"2,00,000 - 7,00,000 PA.",2 - 6 yrs, MVC| ASP.Net MVC,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Interior Designer,"3,50,000 - 5,00,000 PA.",3 - 5 yrs, Sketchup| Design Development| REVIT| Concept Design| Photoshop| autocad| Interior Designing,Interior Design,"Architecture , Interior Design","Architecture, Interior Design"
Recruitment Executive, Not Disclosed by Recruiter ,1 - 6 yrs, Recruitment| Social Networking,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing"
Events/Promotion Executive,"2,75,000 - 4,00,000 PA.",2 - 4 yrs, event production| Client Servicing| event operation| mice| events| conferences| event coordinator,Advertising,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management"
Dean / Director, Not Disclosed by Recruiter ,15 - 18 yrs, Counselor| Teaching| Mentor| Trainer| Advisor,University Level,"Teaching , Education , Training , Counselling","Education, Teaching, Training"
Sales/Business Development Manager, Not Disclosed by Recruiter ,2 - 3 yrs, institutions| management| development executive| financial| academics| presentations| research| corporates,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services"
HR Manager, Not Disclosed by Recruiter ,0 - 4 yrs, Staffing| Assistant Manager HR| Apr| Technical recruitment| Manpower budgetingFuel| Building| Sharing| talent,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Oil and Gas, Energy, Power, Infrastructure"
Testing Engineer, Not Disclosed by Recruiter ,2 - 6 yrs,Html5| Javascript| JQuery| Automation Testing| Android| SQL Database| Regression Testing| Test Scripts| Writing Test Cases| Test Engineering| Selenium| Mobile Testing| Test Plan Creation| Functional Testing| Manual Testing,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Staff Function, Best in the Industry ,2 - 3 yrs, Reception| Front Office| Receptionist Activities| Administration,Front Office/Customer Care,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways"
Software Developer, Not Disclosed by Recruiter ,2 - 3 yrs, metadata| SAP| Debugging| Schema| Archiving| Outsourcing| Documentum| Operations| kofax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,0 - 2 yrs, design| c++| C| java| MySQL| JavaScript| HTML| javascript,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Functional Outside Consultant, Not Disclosed by Recruiter,4 - 9 Years,ASIC|C|Axi|Sv|Ddr|SOC Verification|Perl|PCIE|TCL|UVM,System Design/Implementation/ERP/CRM,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design",IT-Hardware & Networking
Design Engineer, Not Disclosed by Recruiter ,5 - 10 yrs, EMI| Communication Skills| EMC Design| Analog Design| Design Engineering| Personal Skills| Process Capability| Process Improvement| Cadence Virtuoso| Manufacturing Process,Engineering Design,"Engineering Design , R&D","Semiconductors, Electronics"
HR Executive, Not Disclosed by Recruiter ,2 - 5 yrs, Staffing| ESIC| Security management| Monitoring| Talent Acquisition Executive| Housekeeping management| Process documentation| Statutory compliance| Excel| Administration,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,2 - 7 yrs, MySQL| PHP| HTML| jQuery,Programming & Design,"IT Software - Application Programming , Maintenance","Media, Entertainment, Internet"
Associate/Senior Associate -(Technical), Not Disclosed by Recruiter ,6 - 11 yrs, Risk management| Team management| MS Office| Management| Cost analysis| Payroll Compliance| Powerpoint| Consulting| Advisory,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Automobile, Auto Anciliary, Auto Components"
Operations Manager, Not Disclosed by Recruiter ,10 - 15 yrs, Origin| Material handling equipments| Data management| MF| Shift Incharge| Time| Document control| closure| Monitoring| Logistics,Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations","Automobile, Auto Anciliary, Auto Components"
Recruitment Executive,"2,00,000 - 3,50,000 PA.",0 - 5 yrs, Social Networking| Industry Mapping| Real Estate| HR| Recruitment,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Real Estate, Property"
Management Information Systems(MIS)-Manager,"1,00,000 - 1,75,000 PA.",0 - 3 yrs, Excel| power point| ms excel| ms word| ms powerpoint| VLOOKUP| Content Filtering| SUMIF| countif,Admin/Maintenance/Security/Datawarehousing,"IT Software - Systems , EDP , MIS","Consumer Electronics, Appliances, Durables"
